,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,yr_built,x_geo,y_geo,transaction_date,log_price,set,zipcode,PREFERRED_CITY,address
15,2,1.0,880,6380,1.0,0,0,3,7,880,1938,-122.322,47.6924,2014-05-02,13.102160670086809,train,98115,SEATTLE,"Northeast 88th Street, Maple Leaf, Seattle, King County, Washington, United States"
16,3,2.5,1270,1180,3.0,0,0,3,8,1270,2001,-122.392,47.6697,2014-05-02,13.007401358934649,train,98107,SEATTLE,"Northwest 56th Street, Sunset Hill, Ballard, Seattle, King County, Washington, United States"
17,3,2.25,1580,16215,1.0,0,0,4,7,1580,1978,-121.897,47.5643,2014-05-02,12.721885810807205,train,98024,FALL CITY,
18,4,2.5,2820,8408,2.0,0,0,3,9,2820,2014,-122.325,47.7538,2014-05-02,13.34550692871854,train,98155,SEATTLE,"4th Avenue Northeast, Ridgecrest, Shoreline, King County, Washington, United States"
19,4,2.0,1820,5000,1.5,0,1,3,7,1640,1945,-122.269,47.6815,2014-05-02,13.38472764187182,train,98115,SEATTLE,"55th Avenue Northeast, Sand Point, Seattle, King County, Washington, United States"
20,3,1.75,1710,7320,1.0,0,0,3,7,1710,1948,-122.281,47.7512,2014-05-02,13.045482333068373,train,98155,SEATTLE,"Burke-Gilman Trail, Lake Forest Park, King County, Washington, United States"
21,4,2.0,1520,6200,1.5,0,0,3,7,1520,1945,-122.269,47.678,2014-05-02,13.369223455335854,train,98115,SEATTLE,
22,4,2.5,2860,3345,2.0,0,0,3,8,2190,2004,-122.158,47.7735,2014-05-02,13.122263372403996,train,98072,WOODINVILLE,"137th Avenue Northeast, Georgian Heights, Woodinville, King County, Washington, United States"
23,3,2.5,2540,5050,2.0,0,0,3,7,2540,2006,-122.055,47.3358,2014-05-02,12.611537753638338,train,98042,KENT,
24,4,1.0,1450,8800,1.0,0,0,4,7,1450,1954,-122.135,47.5746,2014-05-02,12.983101310070822,train,98006,BELLEVUE,"154th Avenue Southeast, Eastgate, Bellevue, King County, Washington, United States"
25,3,2.5,2390,6550,1.0,0,2,4,8,1440,1955,-122.408,47.5714,2014-05-02,13.527828485512494,train,98116,SEATTLE,
26,2,1.0,1210,9400,1.0,0,0,2,6,1210,1949,-122.36,47.5342,2014-05-02,12.367340793126296,train,98106,SEATTLE,
27,4,1.75,1560,8700,1.0,0,0,4,7,1560,1967,-122.181,47.7274,2014-05-02,12.854483932248728,train,98034,KIRKLAND,
28,4,3.25,2730,54014,1.0,0,0,3,9,1560,2007,-122.11,47.5133,2014-05-02,13.34550692871854,train,98059,RENTON,"174th Avenue Southeast, Renton, King County, Washington, United States"
29,5,2.5,3650,9050,2.0,0,4,5,10,3370,1921,-122.367,47.6345,2014-05-02,14.684290307167377,train,98119,SEATTLE,
30,3,1.0,1160,9180,1.0,0,0,3,7,1160,1968,-122.072,47.7427,2014-05-02,12.66032791780777,train,98077,WOODINVILLE,"Northeast 158th Street, Cottage Lake, Cottage Lake, King County, Washington, United States"
31,3,2.5,2680,5539,2.0,0,0,3,8,2680,2013,-121.734,47.4761,2014-05-02,13.038960029098543,train,98045,NORTH BEND,"Tanner, King County, Washington, United States"
32,3,2.0,1930,11947,1.0,0,0,4,8,1930,1966,-122.151,47.3672,2014-05-02,12.742566016044742,train,98042,KENT,"143rd Avenue Southeast, Kent, King County, Washington, United States"
33,3,1.5,1200,9720,1.0,0,0,4,7,1200,1965,-122.153,47.4225,2014-05-02,12.398756989359676,train,98042,KENT,
34,5,2.75,2910,9480,1.5,0,0,3,8,2910,1939,-122.278,47.6552,2014-05-02,13.997832114758229,train,98105,SEATTLE,
35,3,1.5,1570,6700,1.0,0,0,4,7,1570,1956,-122.134,47.6022,2014-05-02,12.945626198904275,train,98007,BELLEVUE,"Southeast 9th Street, Bellevue, King County, Washington, United States"
36,3,1.0,1090,6435,1.0,0,0,4,7,1090,1955,-122.365,47.5334,2014-05-02,12.80765263256463,train,98106,SEATTLE,"Southwest Portland Court, Seattle, King County, Washington, United States"
37,3,1.75,2330,14892,1.0,0,0,3,8,1970,1980,-122.046,47.6267,2014-05-02,13.285332205682469,train,98074,SAMMAMISH,"220th Place Northeast, Sammamish, King County, Washington, United States"
38,3,2.0,1960,13100,1.0,0,2,5,8,1650,1957,-122.34,47.4419,2014-05-02,12.90669184092882,train,98166,SEATTLE,"4th Avenue Southwest, Normandy Park, King County, Washington, United States"
39,3,2.25,2000,8030,1.0,0,0,4,8,1000,1963,-122.114,47.6188,2014-05-02,12.948009990259552,train,98008,BELLEVUE,"170th Place Northeast, Lochmoor, Bellevue, King County, Washington, United States"
40,3,2.5,1770,2875,2.0,0,0,3,8,1770,1990,-122.397,47.5631,2014-05-02,12.994416363073707,train,98116,SEATTLE,"51st Avenue Southwest, West Seattle, Seattle, King County, Washington, United States"
41,3,1.75,2240,10578,2.0,0,0,5,8,1550,1923,-122.292,47.6954,2014-05-02,13.527828485512494,train,98115,SEATTLE,"Northeast 92nd Street, Wedgwood, Seattle, King County, Washington, United States"
42,2,1.0,850,6174,1.0,0,0,4,7,850,1950,-122.328,47.7352,2014-05-02,12.63947712232758,train,98155,SEATTLE,"Northeast 147th Street, Evergreen, Shoreline, King County, Washington, United States"
43,3,2.5,2430,88426,1.0,0,0,4,7,1570,1985,-121.718,47.4828,2014-05-02,13.022543042122118,train,98045,NORTH BEND,"Southeast 129th Street, North Bend, King County, Washington, United States"
44,4,1.75,2190,125452,1.0,0,2,3,9,2190,1968,-122.069,47.2703,2014-05-02,13.105217218569358,train,98092,AUBURN,"204th Avenue Southeast, Auburn, King County, Washington, United States"
45,3,1.75,1370,5858,1.0,0,0,3,7,1370,1987,-122.313,47.3815,2014-05-02,12.460521046672795,train,98198,SEATTLE,"South 245th Place, Zenith, Des Moines, King County, Washington, United States"
46,3,2.5,2090,10834,1.0,0,0,4,8,1360,1987,-122.303,47.3537,2014-05-02,12.560244459250788,train,98003,FEDERAL WAY,"23rd Avenue South, Federal Way, King County, Washington, United States"
47,2,1.0,800,4850,1.0,0,0,4,7,800,1944,-122.364,47.6639,2014-05-02,12.994530005894443,train,98107,SEATTLE,"6th Avenue Northwest, Phinney Ridge, Seattle, King County, Washington, United States"
48,3,1.75,1800,23103,1.0,0,0,3,7,1800,1968,-121.906,47.6517,2014-05-02,12.556729517143344,train,98014,CARNATION,"Northeast 50th Street, Carnation, King County, Washington, United States"
49,5,3.25,3660,11995,2.0,0,2,3,10,3660,2006,-121.86,47.5337,2014-05-02,13.573438996764546,train,98065,SNOQUALMIE,"The Club at Snoqualmie Ridge, Pinehurst Avenue Southeast, Eagle Lake, Snoqualmie, King County, Washington, United States"
50,3,1.5,1180,10277,1.0,0,0,3,6,1180,1983,-121.787,47.488,2014-05-02,12.524526376648708,train,98045,NORTH BEND,"415th Avenue Southeast, Tanner, King County, Washington, United States"
51,2,2.0,1350,2560,1.0,0,0,3,8,1350,1976,-122.107,47.6344,2014-05-02,12.721885810807205,train,98052,REDMOND,"174th Avenue Northeast, Sammamish Forest Manors, Kenilworth, Redmond, King County, Washington, United States"
52,3,2.5,3240,33151,2.0,0,2,3,10,3240,1995,-122.378,47.3256,2014-05-02,13.311329476916953,train,98023,FEDERAL WAY,"36th Court Southwest, Bayview Country Estates, Federal Way, King County, Washington, United States"
53,4,2.5,2920,4000,1.5,0,0,5,8,1910,1909,-122.28,47.6578,2014-05-02,14.151982794585487,train,98105,SEATTLE,"44th Avenue Northeast, Laurelhurst, Seattle, King County, Washington, United States"
54,4,2.25,2200,11250,1.5,0,0,5,7,1300,1920,-122.201,47.6845,2014-05-02,13.45597438174451,train,98033,KIRKLAND,"4th Street, Kirkland, King County, Washington, United States"
55,4,3.0,3110,7231,2.0,0,0,3,8,3110,1997,-122.191,47.3279,2014-05-02,12.814478597635029,train,98092,AUBURN,"Southeast 306th Place, Lea Hill, Auburn, King County, Washington, United States"
56,4,2.75,2710,37277,2.0,0,0,3,9,2710,2000,-121.987,47.4634,2014-05-02,13.353475098367715,train,98027,ISSAQUAH,"Southeast 154th Place, Mirrormont, Issaquah, King County, Washington, United States"
57,4,2.5,2710,35868,2.0,0,0,3,9,2710,1989,-122.022,47.375,2014-05-02,13.085699393032735,train,98038,MAPLE VALLEY,
58,4,1.5,1920,10000,1.0,0,0,4,7,1070,1954,-122.133,47.5725,2014-05-02,12.971540487669746,train,98006,BELLEVUE,"156th Avenue Southeast, Eastgate, Bellevue, King County, Washington, United States"
59,4,2.0,1480,8625,1.0,0,0,4,7,1480,1974,-122.193,47.462,2014-05-02,12.468436909997664,train,98055,RENTON,"Aberdeen Place Southeast, Rolling Hills, Renton, King County, Washington, United States"
60,4,2.5,3310,42998,2.0,0,0,3,9,3310,2001,-122.131,47.7232,2014-05-02,13.63877337946422,train,98052,REDMOND,"Northeast 136th Place, King County, Washington, United States"
61,3,3.0,1850,19966,1.0,0,0,4,7,1090,1992,-122.034,47.3493,2014-05-02,12.567934116156206,train,98038,MAPLE VALLEY,"Southeast 281st Court, Diamond Hills, Maple Valley, King County, Washington, United States"
62,3,2.0,2710,4500,1.5,0,0,4,8,1880,1929,-122.295,47.6747,2014-05-02,13.5985975564007,train,98115,SEATTLE,
63,3,1.75,2910,35200,1.5,0,0,3,8,2910,1979,-122.035,47.5747,2014-05-02,13.217673557208654,train,98075,SAMMAMIISH,"Sammamish, King County, Washington, United States"
64,2,1.0,900,5000,1.0,0,0,3,7,900,1944,-122.395,47.6883,2014-05-03,13.223113280504473,train,98117,SEATTLE,"29th Avenue Northwest, Loyal Heights, Ballard, Seattle, King County, Washington, United States"
65,3,1.0,1010,9945,1.0,0,0,4,6,1010,1973,-121.763,47.5324,2014-05-03,12.644327576461327,train,98065,SNOQUALMIE,"North Fork Road Southeast, Ernies Grove, King County, Washington, United States"
66,4,2.75,2920,6605,2.0,0,0,3,8,2920,2012,-122.144,47.4909,2014-05-03,13.34550692871854,train,98059,RENTON,"Northeast 5th Circle, Hidden Creek, Renton, King County, Washington, United States"
67,3,2.5,1650,14054,1.0,0,0,4,7,1130,1986,-122.017,47.4821,2014-05-03,12.84761069235689,train,98027,ISSAQUAH,
68,3,2.5,2200,7350,1.0,0,0,5,8,1570,1988,-122.161,47.4395,2014-05-04,12.80765263256463,train,98058,RENTON,"Southeast 182nd Street, Forest Estates, Fairwood, Renton, King County, Washington, United States"
69,4,2.0,2280,6010,1.0,0,0,3,7,1140,1900,-122.289,47.6034,2014-05-04,13.350295445450335,train,98122,SEATTLE,
70,3,2.5,2850,7130,2.0,0,0,3,10,1990,1980,-122.289,47.603,2014-05-04,13.571526340778211,train,98122,SEATTLE,
71,2,2.5,2680,7392,1.0,0,0,3,9,2680,2004,-122.026,47.717,2014-05-04,13.560618308335483,train,98053,REDMOND,"234th Court Northeast, Enclaves, Trilogy, Redmond, King County, Washington, United States"
72,4,2.5,2530,9933,2.0,0,2,3,8,2010,1990,-122.216,47.2654,2014-05-04,12.712739634147306,train,98092,AUBURN,"48th Court Southeast, Lakeland Hills, Auburn, King County, Washington, United States"
73,2,1.0,2540,7000,1.0,0,0,5,8,1320,1942,-122.261,47.5259,2014-05-05,13.270783382522602,train,98118,SEATTLE,"Island Drive South, Dunlap, Seattle, King County, Washington, United States"
74,2,3.0,1270,1175,2.0,0,0,3,8,1110,2000,-122.34,47.6634,2014-05-05,13.182517300224076,train,98103,SEATTLE,"North 48th Street, Meridian, Wallingford, Seattle, King County, Washington, United States"
75,4,1.75,2010,9211,1.0,0,0,3,7,1470,1977,-122.171,47.7206,2014-05-05,13.09721991319564,train,98034,KIRKLAND,"127th Place Northeast, Kingsgate, Kirkland, King County, Washington, United States"
76,5,3.5,4010,8510,2.0,0,1,5,9,2850,1971,-122.286,47.6578,2014-05-05,14.148404973237604,train,98105,SEATTLE,"Northeast Belvoir Place, Laurelhurst, Seattle, King County, Washington, United States"
77,3,2.0,2350,5700,1.5,0,0,4,8,1810,1939,-122.31,47.639,2014-05-05,13.554145793829866,train,98112,SEATTLE,"Boyer Avenue East, Montlake, Seattle, King County, Washington, United States"
78,2,2.5,1590,1426,2.0,0,0,3,8,1590,2014,-122.013,47.5441,2014-05-05,12.946079556742603,train,98029,ISSAQUAH,
79,4,1.75,2010,3600,1.5,0,0,3,7,2010,1902,-122.371,47.6337,2014-05-05,13.514405465180351,train,98119,SEATTLE,"West Garfield Street, Queen Anne, Seattle, King County, Washington, United States"
80,3,2.0,1800,5000,1.0,0,0,4,7,1080,1942,-122.297,47.6738,2014-05-05,13.33505247081468,train,98115,SEATTLE,"Northeast 62nd Street, Ravenna, University District, Seattle, King County, Washington, United States"
81,4,2.5,3180,21904,2.0,0,3,3,9,3180,2000,-122.117,47.515,2014-05-05,13.509664514884822,train,98059,RENTON,"Southeast 100th Street, Renton, King County, Washington, United States"
82,3,1.75,1330,7500,1.0,0,0,3,8,1330,1961,-122.195,47.6074,2014-05-05,13.57598352739954,train,98004,BELLEVUE,"109th Avenue Southeast, Surrey Downs, Bellevue, King County, Washington, United States"
83,4,1.75,1970,9389,1.0,0,0,5,7,1140,1960,-122.339,47.7771,2014-05-05,12.84779494409793,train,98133,SEATTLE,
84,7,8.0,13540,307752,3.0,0,4,3,12,9410,1999,-121.986,47.6675,2014-05-05,14.639686000930624,train,98053,REDMOND,"Northeast 70th Street, Pegasus Training and Rehabilitation Center, Union Hill-Novelty Hill, King County, Washington, United States"
85,5,2.0,1840,9240,1.0,0,0,4,7,1540,1942,-122.34,47.7308,2014-05-05,12.983101310070822,train,98133,SEATTLE,"Ashworth Avenue North, Bitter Lake, Haller Lake, Seattle, King County, Washington, United States"
86,3,1.75,1920,9306,1.0,0,0,3,7,1000,1984,-122.267,47.3319,2014-05-05,12.409013489526863,train,98001,AUBURN,"55th Place South, Auburn, King County, Washington, United States"
87,4,2.0,1480,3844,1.5,0,0,5,7,1480,1928,-122.352,47.7042,2014-05-05,13.015334804645804,train,98133,SEATTLE,"North 104th Street, Seattle, King County, Washington, United States"
88,3,2.5,2490,4343,2.0,0,0,3,9,2490,2003,-121.993,47.5493,2014-05-05,13.46649194367446,train,98029,ISSAQUAH,"Northeast Larkspur Lane, Logan Park, Issaquah, King County, Washington, United States"
89,4,1.0,1390,4240,1.0,0,0,3,7,1050,1924,-122.338,47.6596,2014-05-05,13.39559149288596,train,98103,SEATTLE,"Woodlawn Avenue North, Wallingford, Seattle, King County, Washington, United States"
90,3,1.75,1490,10125,1.0,0,0,4,7,1490,1962,-122.284,47.3075,2014-05-05,12.122691036591124,train,98001,AUBURN,"South 328th Street, Federal Way, King County, Washington, United States"
91,4,2.5,2910,6338,2.0,0,0,3,8,2910,2008,-122.126,47.4804,2014-05-05,13.215853720491667,train,98059,RENTON,"Southeast 137th Street, Renton, King County, Washington, United States"
92,3,1.0,1330,77972,1.0,0,0,3,7,1330,1928,-122.159,47.6891,2014-05-05,13.710150042306449,train,98033,KIRKLAND,"Northeast 100th Street, Earlmont, Kirkland, King County, Washington, United States"
93,5,1.75,2550,71874,1.0,0,0,5,7,1810,1960,-122.08,47.4845,2014-05-05,13.17284354129086,train,98027,ISSAQUAH,
94,3,1.5,2160,9000,1.0,0,2,4,8,1400,1949,-122.369,47.7241,2014-05-05,13.38472764187182,train,98177,SEATTLE,
95,3,2.5,3240,7857,2.0,0,0,3,10,3240,1994,-122.038,47.5857,2014-05-05,13.592367006650065,train,98075,SAMMAMIISH,
96,3,2.25,1800,36704,1.0,0,0,4,8,1360,1978,-122.013,47.4688,2014-05-05,12.92391243868049,train,98027,ISSAQUAH,
97,4,1.5,1240,9600,1.0,0,0,3,7,1240,1971,-122.397,47.3206,2014-05-05,12.301382825334498,train,98023,FEDERAL WAY,"Southwest 314th Place, Federal Way, King County, Washington, United States"
98,4,2.5,2450,4247,2.0,0,0,3,8,2450,2013,-122.113,47.7048,2014-05-05,13.476111241621927,train,98052,REDMOND,"Northeast 117th Street, Redmond, King County, Washington, United States"
99,3,2.0,1550,15040,1.0,0,0,4,6,1550,1958,-122.099,47.4873,2014-05-05,12.429016176841715,train,98059,RENTON,"Southeast 128th Street, East Renton Highlands, King County, Washington, United States"
100,2,1.0,1200,8063,1.0,0,0,4,6,1200,1958,-122.324,47.4204,2014-05-05,12.354492650648448,train,98198,SEATTLE,"8th Avenue South, North Hill, Des Moines, King County, Washington, United States"
101,4,2.75,2600,5390,1.0,0,0,4,8,1300,1960,-122.397,47.6382,2014-05-05,13.658856747918897,train,98199,SEATTLE,"31st Avenue West, Magnolia Village, Magnolia, Seattle, King County, Washington, United States"
102,5,3.5,4490,6000,2.0,0,0,3,10,3200,2006,-122.073,47.5396,2014-05-05,13.698976741708323,train,98027,ISSAQUAH,"Summerhill Ridge Drive Northwest, Talus, Issaquah, King County, Washington, United States"
103,4,2.5,2800,5900,1.0,0,0,3,8,1660,1963,-122.286,47.6809,2014-05-05,13.407542319637992,train,98115,SEATTLE,"39th Avenue Northeast, Seattle, King County, Washington, United States"
104,4,3.0,2170,4000,2.0,0,0,4,9,1610,1982,-122.292,47.6196,2014-05-05,13.630385073837584,train,98112,SEATTLE,"31st Avenue East, Madison Valley, Seattle, King County, Washington, United States"
105,3,1.75,1560,5520,1.0,0,0,4,6,780,1944,-122.399,47.6515,2014-05-05,13.16924696330318,train,98199,SEATTLE,"33rd Avenue West, Lawton Park, Magnolia, Seattle, King County, Washington, United States"
106,4,3.0,3690,9892,2.0,0,0,3,10,3690,1998,-121.982,47.5937,2014-05-05,13.670484785914017,train,98075,SAMMAMIISH,"267th Court Southeast, Preswick, Trossachs, Sammamish, King County, Washington, United States"
107,3,2.5,1790,2700,2.0,0,0,3,8,1790,2010,-122.093,47.564,2014-05-05,13.141969907043247,train,98027,ISSAQUAH,"185th Avenue Southeast, Issaquah, King County, Washington, United States"
108,3,1.75,1880,6360,1.0,0,0,4,7,1040,1945,-122.286,47.6878,2014-05-05,13.304684934198283,train,98115,SEATTLE,"39th Avenue Northeast, Wedgwood, Seattle, King County, Washington, United States"
109,5,2.75,3190,16920,1.0,0,3,3,9,1690,1976,-122.16,47.5641,2014-05-05,13.845069360205818,train,98006,BELLEVUE,
110,2,1.75,2110,9519,1.0,0,0,2,7,2110,1948,-122.306,47.7504,2014-05-05,12.89921982609012,train,98155,SEATTLE,"Northeast 168th Street, North City, Shoreline, King County, Washington, United States"
111,2,1.5,1160,1438,2.0,0,0,3,7,1160,2001,-122.295,47.5917,2014-05-05,12.736700896592344,train,98144,SEATTLE,"29th Avenue South, Leschi, Seattle, King County, Washington, United States"
112,4,1.5,1120,5427,1.0,0,0,3,6,1120,1969,-122.087,47.3628,2014-05-05,12.300928176542852,train,98042,KENT,"Southeast 266th Street, Covington Woods, Timberlane, Covington, King County, Washington, United States"
113,4,1.0,2070,7519,1.0,0,0,3,7,1160,1963,-122.119,47.632,2014-05-05,13.124361380067002,train,98008,BELLEVUE,"166th Avenue Northeast, Ardmore, Bellevue, King County, Washington, United States"
114,3,1.75,1480,2185,2.5,0,0,3,9,1480,2005,-122.17,47.6945,2014-05-05,13.337474757021274,train,98034,KIRKLAND,"128th Avenue Northeast, Firloch, Kirkland, King County, Washington, United States"
115,5,2.75,2740,8426,1.0,0,0,4,8,1370,1960,-122.184,47.5563,2014-05-05,13.20140558474428,train,98006,BELLEVUE,"116th Place Southeast, Lake Heights, Bellevue, King County, Washington, United States"
116,4,1.75,2300,11700,1.0,0,0,4,9,1960,1977,-122.094,47.6331,2014-05-05,13.329377546788654,train,98052,REDMOND,
117,4,2.5,2910,6479,2.0,0,0,3,7,2910,2006,-121.887,47.5402,2014-05-05,13.120361374733656,train,98065,SNOQUALMIE,"Southeast Sorenson Street, Snoqualmie, King County, Washington, United States"
118,4,2.5,2440,6651,2.0,0,0,3,9,2440,2014,-122.371,47.6971,2014-05-05,13.35605114259421,train,98117,SEATTLE,
119,3,1.75,1670,39639,1.0,0,0,4,8,1670,1976,-121.989,47.5929,2014-05-05,13.304684934198283,train,98075,SAMMAMIISH,"East Beaver Lake Drive Southeast, Trossachs, Sammamish, King County, Washington, United States"
120,4,2.5,2730,10281,2.0,0,2,3,9,2730,1996,-122.029,47.6227,2014-05-05,13.567049198665774,train,98074,SAMMAMISH,"Northeast 14th Court, Autumn Wind, Sammamish, King County, Washington, United States"
121,4,2.5,3400,9692,2.0,0,0,3,9,3400,2007,-122.109,47.708,2014-05-05,13.62918097977278,train,98052,REDMOND,"173rd Place Northeast, Wynstone, Redmond, King County, Washington, United States"
122,4,2.5,4340,141570,2.5,0,0,3,11,4340,1992,-122.048,47.6805,2014-05-05,13.901688254205329,train,98053,REDMOND,"218th Avenue Northeast, Union Hill-Novelty Hill, King County, Washington, United States"
123,3,2.5,3040,4535,2.0,0,0,3,9,3040,2007,-122.185,47.51,2014-05-05,13.077366011473591,train,98056,RENTON,"Ferndale Avenue Northeast, Renton, King County, Washington, United States"
124,5,1.0,1120,9022,1.5,0,0,4,7,1120,1962,-122.24,47.7296,2014-05-05,12.736700896592344,train,98034,KIRKLAND,"75th Avenue Northeast, Moorlands, Kirkland, King County, Washington, United States"
125,4,2.5,2120,10202,1.0,0,0,4,7,1620,1960,-122.17,47.5858,2014-05-05,13.534473028231162,train,98005,BELLEVUE,"Southeast 27th Street, Bellevue, King County, Washington, United States"
126,3,2.25,1410,1332,3.0,0,0,3,8,1410,2005,-122.34,47.6916,2014-05-05,12.914354713674388,train,98103,SEATTLE,"Interlake Avenue North, Licton Springs, Greenwood, Seattle, King County, Washington, United States"
127,3,2.5,1680,2000,3.0,0,0,3,9,1680,1909,-122.29,47.6604,2014-05-05,13.415032991367148,train,98105,SEATTLE,"Northeast 44th Street, East Campus, Seattle, King County, Washington, United States"
128,3,2.5,1880,7838,2.0,0,0,3,7,1880,1994,-122.19,47.4439,2014-05-05,12.644166273130065,train,98055,RENTON,"113th Place Southeast, Benson Hill, Renton, King County, Washington, United States"
129,4,2.5,2370,6500,2.0,0,0,3,9,2370,1998,-122.173,47.3328,2014-05-05,12.70076888736628,train,98092,AUBURN,"Southeast 300th Way, Lea Hill, Auburn, King County, Washington, United States"
130,2,1.0,840,5510,1.0,0,0,3,7,840,1955,-122.391,47.5247,2014-05-05,12.89921982609012,train,98136,SEATTLE,
131,2,1.0,1140,5400,1.0,0,0,5,7,1140,1908,-122.294,47.6205,2014-05-05,13.215853720491667,train,98112,SEATTLE,
132,5,2.5,3090,12750,1.0,0,0,3,8,1750,1968,-122.335,47.3408,2014-05-05,12.860738839271836,train,98023,FEDERAL WAY,
133,3,2.5,1408,989,3.0,0,0,3,8,1408,2005,-122.315,47.6856,2014-05-05,12.939127803023537,train,98115,SEATTLE,
134,3,2.5,2230,4000,2.0,0,0,3,7,2230,1954,-122.306,47.5801,2014-05-05,12.896089933081193,train,98144,SEATTLE,"21st Avenue South, Beacon Hill, Seattle, King County, Washington, United States"
135,3,1.0,1340,306848,1.0,0,0,3,5,1340,1953,-121.912,47.7534,2014-05-05,12.254862809699606,train,98019,DUVALL,"Mountain View Road Northeast, King County, Washington, United States"
136,5,2.5,3180,13806,2.0,0,0,4,10,3180,1990,-122.182,47.652,2014-05-05,13.593448921169424,train,98033,KIRKLAND,"Northeast 48th Place, Sablewood, Kirkland, King County, Washington, United States"
137,3,2.25,2010,6000,1.0,0,0,3,8,1330,1975,-122.115,47.6912,2014-05-05,13.253391639810731,train,98052,REDMOND,
138,3,3.0,1571,2017,3.0,0,0,3,8,1571,2008,-122.309,47.7338,2014-05-05,12.812435696005227,train,98125,SEATTLE,"19th Avenue Northeast, Lake City, Seattle, King County, Washington, United States"
139,2,1.0,1770,8640,1.5,0,0,3,6,1520,1949,-122.363,47.6926,2014-05-05,13.279367126213993,train,98117,SEATTLE,
140,4,4.25,4420,5750,2.0,0,0,3,10,3410,2006,-122.073,47.5404,2014-05-05,13.698976741708323,train,98027,ISSAQUAH,"Summerhill Ridge Drive Northwest, Talus, Issaquah, King County, Washington, United States"
141,2,3.0,1410,1240,2.0,0,0,3,8,1140,2006,-122.39,47.5221,2014-05-05,12.911642346088676,train,98136,SEATTLE,"45th Avenue Southwest, Fauntleroy, Seattle, King County, Washington, United States"
142,2,1.0,810,7158,1.0,0,0,5,6,810,1944,-122.325,47.4882,2014-05-05,12.235631447771718,train,98168,SEATTLE,"7th Avenue South, Burien, King County, Washington, United States"
143,3,1.0,1450,6000,1.0,0,0,4,7,1450,1953,-122.287,47.5238,2014-05-05,12.567237494741756,train,98118,SEATTLE,"Cecil Avenue South, Seattle, King County, Washington, United States"
